Tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
,E21 - Production d'autres matériaux de construction et de céramique,77,104,s
,E22 - Industrie du verre,149,181,181
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,281,442,442
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",61,126,s
,E26 - Autres industries de la chimie organique de base,162,324,324
,E28 - Parachimie et industrie pharmaceutique,29,64,64
,E29 - Fonderie et travail des métaux,90,193,193
,E30 - Construction mécanique,38,84,84
,E31 - Construction électrique et électronique,78,173,173
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,27,50,50
,"E33 - Construction navale et aéronautique, armement",11,19,19
,"E34 - Industrie textile, du cuir et de l'habillement",53,86,86
,E35 - Industrie du papier et du carton,117,256,256
,E36 - Fabrication de produits en caoutchouc,7,12,s
,E37 - Fabrication de produits en plastique,37,130,130
,E38 - Industries diverses,21,44,44
Auvergne,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,38,51,51
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,48,55,37
,E28 - Parachimie et industrie pharmaceutique,6,12,12
,E29 - Fonderie et travail des métaux,31,56,56
,E30 - Construction mécanique,4,6,6
,E31 - Construction électrique et électronique,3,7,7
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,1,4,4
,"E33 - Construction navale et aéronautique, armement",2,5,5
,"E34 - Industrie textile, du cuir et de l'habillement",3,8,8
,E35 - Industrie du papier et du carton,6,13,13
,E36 - Fabrication de produits en caoutchouc,33,58,58
,E37 - Fabrication de produits en plastique,5,33,32
,E38 - Industries diverses,5,13,13
Languedoc-Roussillon,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,3,4,4
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,50,59,59
,E22 - Industrie du verre,45,59,59
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,27,38,33
,E28 - Parachimie et industrie pharmaceutique,1,2,2
,E29 - Fonderie et travail des métaux,2,4,4
,E30 - Construction mécanique,2,7,7
,E31 - Construction électrique et électronique,1,7,7
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,0,0,0
,"E33 - Construction navale et aéronautique, armement",0,0,0
,"E34 - Industrie textile, du cuir et de l'habillement",1,1,1
,E35 - Industrie du papier et du carton,s,14,14
,E36 - Fabrication de produits en caoutchouc,0,1,1
,E37 - Fabrication de produits en plastique,4,11,11
,E38 - Industries diverses,2,6,6
PACA et Corse,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,7,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,s,s,s
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,80,214,214
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,89,s
,E26 - Autres industries de la chimie organique de base,1612,1873,1873
,E28 - Parachimie et industrie pharmaceutique,22,35,35
,E29 - Fonderie et travail des métaux,9,19,19
,E30 - Construction mécanique,3,6,6
,E31 - Construction électrique et électronique,4,30,30
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,1,1,1
,"E33 - Construction navale et aéronautique, armement",8,22,22
,"E34 - Industrie textile, du cuir et de l'habillement",1,1,1
,E35 - Industrie du papier et du carton,s,s,s
,E36 - Fabrication de produits en caoutchouc,s,1,s
,E37 - Fabrication de produits en plastique,4,11,11
,E38 - Industries diverses,2,9,9
Champ : France métropolitaine.,,,,
Source : Enquête annuelle sur les consommations d'énergie dans l'industrie 2010.,,,,
