"GEO";"GEO_OBJECT";"NUMBER_EMPL";"ACTIVITY";"EACEI_MEASURE";"UNIT_MULT";"UNIT_MEASURE";"CONF_STATUS";"OBS_STATUS";"COMPARE_TIME";"TIME_PERIOD";"OBS_VALUE"
"84";"REG";"_T";"_T";"JR_CSTP";"3";"TOE";"F";"A";"_Z";2023;64.8
"F";"FRANCE";"_T";"13";"LR_USQ3";"3";"TOE";"C";"A";"_Z";2023;0.5
"F";"FRANCE";"_T";"17";"GAZR_USQ4";"3";"TOE";"F";"A";"_Z";2023;30
"DOM";"OTHER";"_T";"_T";"KR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"32";"GAZR_USQ3";"3";"TOE";"F";"A";"_Z";2023;0
"DOM";"OTHER";"_T";"_T";"EFFECTIF";"0";"_Z";"F";"A";"_Z";2023;313
"F";"FRANCE";"_T";"27";"KR_QAUP";"3";"T";"C";"A";"_Z";2023;0
"F";"FRANCE";"_T";"25";"JR_CSTP";"3";"TOE";"C";"A";"_Z";2023;20
"52";"REG";"_T";"_T";"QR_QAUP";"3";"L";"F";"A";"_Z";2023;13708.6
"F";"FRANCE";"_T";"17";"PR_USQ2";"3";"TOE";"F";"A";"_Z";2023;0
"24";"REG";"_T";"_T";"PR_VEND";"3";"T";"F";"A";"_Z";2023;0
"F";"FRANCE";"E100T249";"_T";"PR_USQ3";"3";"TOE";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"PP_PCT";"0";"PT";"F";"A";"1_2005";2008;8
"F";"FRANCE";"_T";"_T";"PP_PCT";"0";"PT";"F";"A";"1_2005";2005;10
"DOM";"OTHER";"_T";"_T";"XR_CSTP";"3";"TOE";"F";"A";"_Z";2023;2.1
"F";"FRANCE";"_T";"26";"PP_CSTP";"3";"TOE";"C";"A";"_Z";2023;1.1
"11";"REG";"_T";"_T";"PR_CSUP";"3";"T";"C";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"PP_PCT";"0";"PT";"F";"A";"1_2005";2018;4
"F";"FRANCE";"_T";"31";"CR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"22";"BR_CONTRAT_FIN_3_PROP";"0";"PT";"F";"A";"_Z";2023;9.8
"F";"FRANCE";"_T";"24";"BR_CSUP";"0";"GWH";"F";"A";"_Z";2023;18174.9
"76";"REG";"_T";"_T";"BIOR_CSTP";"3";"TOE";"C";"A";"_Z";2023;1.4
"F";"FRANCE";"_T";"16";"CMSR_QAUP";"3";"T";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"CR_PRIX";"0";"EUR_T";"F";"A";"1_2005";2008;28
"F";"FRANCE";"_T";"_T";"BR_USQ4";"3";"TOE";"F";"A";"_Z";2023;9935.8
"F";"FRANCE";"_T";"31";"BIOR_CSTP";"3";"TOE";"C";"A";"_Z";2023;0.1
"F";"FRANCE";"_T";"31";"BIOR_CSUP";"0";"GWH";"C";"A";"_Z";2023;1.8
"F";"FRANCE";"_T";"27";"BR_VALA";"6";"EUR";"F";"A";"_Z";2023;340.1
"F";"FRANCE";"E250T499";"_T";"BIOR_CSTP";"3";"TOE";"F";"A";"_Z";2023;45.5
"F";"FRANCE";"_T";"21";"FACTURE";"6";"EUR";"F";"A";"_Z";2023;625.9
"F";"FRANCE";"_T";"31";"DR_CONTRAT_CONCERNE_PROP";"0";"PT";"F";"A";"_Z";2023;59.7
"F";"FRANCE";"_T";"26";"DR_CONTRAT_FIN_1_PROP";"0";"PT";"F";"A";"_Z";2023;80.9
"75";"REG";"_T";"_T";"LR_USQ2";"3";"TOE";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"IR_PRIX";"0";"EUR_T";"F";"A";"1_2005";2012;165
"F";"FRANCE";"_T";"38";"DR_CONTRAT_CHANG_1_PROP";"0";"PT";"F";"A";"_Z";2023;20.2
"75";"REG";"_T";"_T";"KR_CSUP";"3";"T";"F";"A";"_Z";2023;35.8
"76";"REG";"_T";"_T";"JR_CSUP";"3";"T";"F";"A";"_Z";2023;13.8
"F";"FRANCE";"E_GE500";"_T";"JR_PRIX";"0";"EUR_T";"F";"A";"_Z";2023;527.5
"F";"FRANCE";"_T";"25";"GAZR_CSUP";"0";"GWH";"F";"A";"_Z";2023;3044.6
"F";"FRANCE";"_T";"29";"PR_VEND";"3";"T";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"PR_USQ8";"3";"TOE";"F";"A";"_Z";2023;138.3
"F";"FRANCE";"_T";"38";"LR_USQFAB";"3";"TOE";"C";"A";"_Z";2023;0
"44";"REG";"_T";"_T";"QR_USQ4";"3";"TOE";"F";"A";"_Z";2023;1.5
"DOM";"OTHER";"_T";"_T";"PR_CSUP";"3";"T";"C";"A";"_Z";2023;0.3
"93";"REG";"_T";"_T";"PR_VALA";"6";"EUR";"F";"A";"_Z";2023;17.2
"F";"FRANCE";"_T";"B07T09";"QR_CSUP";"3";"L";"F";"A";"_Z";2023;77023.8
"F";"FRANCE";"E_GE500";"_T";"NR_CSTP";"3";"TOE";"C";"A";"_Z";2023;110.8
"32";"REG";"_T";"_T";"QR_USQ9";"3";"TOE";"F";"A";"_Z";2023;29.3
"F";"FRANCE";"_T";"18";"OR_CSUP";"3";"T";"C";"A";"_Z";2023;0.2
"F";"FRANCE";"_T";"_T";"BIOR_PRIX";"0";"EUR_GWH";"F";"L";"0_2005";1998;
"53";"REG";"_T";"_T";"BIOR_CSTP";"3";"TOE";"C";"A";"_Z";2023;0.4
"F";"FRANCE";"_T";"16";"BR_CONTRAT_CHANG_1_PROP";"0";"PT";"F";"A";"_Z";2023;30.7
"F";"FRANCE";"_T";"29";"BR_CONTRAT_FIN_4_PROP";"0";"PT";"F";"A";"_Z";2023;20.3
"52";"REG";"_T";"_T";"BR_USQ4";"3";"TOE";"F";"A";"_Z";2023;25.2
"F";"FRANCE";"E250T499";"_T";"COMBPRB";"3";"TOE";"F";"A";"_Z";2023;142.8
"F";"FRANCE";"_T";"_T";"BR_USQ1";"3";"TOE";"F";"A";"_Z";2023;54615.7
"F";"FRANCE";"_T";"13";"BR_VALA";"6";"EUR";"F";"A";"_Z";2023;166.5
"44";"REG";"_T";"_T";"BR_VEND";"0";"GWH";"F";"A";"_Z";2023;551.8
"24";"REG";"_T";"_T";"CMSR_PRIX";"0";"EUR_T";"F";"A";"_Z";2023;305.2
"F";"FRANCE";"E50T99";"_T";"JR_CSUP";"3";"T";"C";"A";"_Z";2023;46.2
"28";"REG";"_T";"_T";"GAZR_USQ9";"3";"TOE";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"31";"EFFECTIF";"0";"_Z";"F";"A";"_Z";2023;392
"F";"FRANCE";"_T";"32";"IR_QAUP";"3";"T";"F";"A";"_Z";2023;0
"24";"REG";"_T";"_T";"CR_VALA";"6";"EUR";"C";"A";"_Z";2023;6.7
"44";"REG";"_T";"_T";"KR_VALA";"6";"EUR";"C";"A";"_Z";2023;0.7
"F";"FRANCE";"_T";"_T";"FR_PRIX";"0";"EUR_T";"F";"A";"1_2005";2019;154
"76";"REG";"_T";"_T";"GAZR_CSTP";"3";"TOE";"C";"A";"_Z";2023;304.4
"F";"FRANCE";"_T";"16";"CR_VTTP";"3";"TOE";"C";"A";"_Z";2023;0.3
"F";"FRANCE";"_T";"_T";"KR_PRIX";"0";"EUR_T";"F";"A";"1_2005";2014;480
"93";"REG";"_T";"_T";"OR_VALA";"6";"EUR";"C";"A";"_Z";2023;1.6
"F";"FRANCE";"E250T499";"_T";"OR_VALA";"6";"EUR";"C";"A";"_Z";2023;36.1
"28";"REG";"_T";"_T";"LR_VALA";"6";"EUR";"C";"A";"_Z";2023;4.9
"76";"REG";"_T";"_T";"PR_QAUP";"3";"T";"F";"A";"_Z";2023;0
"DOM";"OTHER";"_T";"_T";"QR_PRIX";"0";"EUR_L";"F";"A";"_Z";2023;0.87
"F";"FRANCE";"_T";"16";"PR_USQ4";"3";"TOE";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"QR_PRIX";"0";"EUR_L";"F";"L";"0_2005";2002;
"F";"FRANCE";"E50T99";"_T";"QR_USQ9";"3";"TOE";"F";"A";"_Z";2023;24.2
"44";"REG";"_T";"_T";"QR_PRIX";"0";"EUR_L";"F";"A";"_Z";2023;1.1
"F";"FRANCE";"E_GE500";"_T";"PR_USQ9";"3";"TOE";"C";"A";"_Z";2023;0
"F";"FRANCE";"_T";"28";"CMSR_QAUP";"3";"T";"F";"A";"_Z";2023;0
"F";"FRANCE";"E250T499";"_T";"CONSNET_MILLIERS";"3";"TOE";"F";"A";"_Z";2023;7031.7
"F";"FRANCE";"_T";"28";"BR_USQ1";"3";"TOE";"F";"A";"_Z";2023;877.2
"F";"FRANCE";"_T";"16";"CMSR_VALA";"6";"EUR";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"17";"BIOR_QAUP";"0";"GWH";"C";"A";"_Z";2023;6.8
"F";"FRANCE";"_T";"30";"BR_USQ1";"3";"TOE";"F";"A";"_Z";2023;831.6
"F";"FRANCE";"E100T249";"_T";"CR_QAUP";"3";"T";"F";"A";"_Z";2023;8067.2
"52";"REG";"_T";"_T";"CMSR_CSUP";"3";"T";"F";"A";"_Z";2023;16.3
"24";"REG";"_T";"_T";"BR_USQ1";"3";"TOE";"F";"A";"_Z";2023;1802.8
"F";"FRANCE";"_T";"27";"CONSBRT_MILLIERS";"3";"TOE";"F";"A";"_Z";2023;210.6
"F";"FRANCE";"_T";"28";"IR_CSUP";"3";"T";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"28";"LR_QAUP";"3";"L";"F";"A";"_Z";2023;4980.7
"52";"REG";"_T";"_T";"LR_USQ2";"3";"TOE";"F";"A";"_Z";2023;0
"93";"REG";"_T";"_T";"KR_QAUP";"3";"T";"C";"A";"_Z";2023;17.6
"F";"FRANCE";"_T";"31";"GAZR_QAUP";"0";"GWH";"C";"A";"_Z";2023;241.8
"F";"FRANCE";"_T";"38";"CR_VALA";"6";"EUR";"F";"A";"_Z";2023;3.1
"28";"REG";"_T";"_T";"IR_VALA";"6";"EUR";"C";"A";"_Z";2023;4.3
"F";"FRANCE";"_T";"24";"GAZR_USQ2";"3";"TOE";"F";"A";"_Z";2023;21.1
"F";"FRANCE";"E_GE500";"_T";"GAZR_USQ2";"3";"TOE";"F";"A";"_Z";2023;31.4
