2025-07-19 20:58:26,040 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Quantités de fioul domestique consommées pour le chauffage ou un autre usage' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,041 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Quantités de fioul domestique consommées pour le chauffage ou un autre usage' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,041 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Quantités de fioul domestique consommées pour le chauffage ou un autre usage' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,075 | INFO | --- Processing file: 2010_TEFF_T3.csv ---
2025-07-19 20:58:26,085 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '100-249' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,085 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '250-499' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,086 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,086 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,088 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '20-49' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,090 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,091 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '20-49' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,092 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '100-249' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,092 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '250-499' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,095 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,096 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,104 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | RowAggregationWarning: Sum across axis '500+' for group 'Quantités de gaz consommées pour la production d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,109 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | RowAggregationWarning: Sum across axis '500+' for group 'Quantités de fioul domestique consommées pour la fabrication' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,111 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | RowAggregationWarning: Sum across axis '500+' for group 'Quantités de fioul domestique consommées en tant que matières premières' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,114 | INFO | Script: step_3_T3.py | File: 2010_TEFF_T3.csv | RowAggregationWarning: Sum across axis '500+' for group 'Quantités de fioul domestique consommées pour le chauffage ou un autre usage' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,131 | INFO | --- Processing file: 2011_NAF_T3.csv ---
2025-07-19 20:58:26,142 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '13' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,143 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,144 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,144 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '18' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,145 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '22' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,146 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,146 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,148 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '29' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,149 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '30' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,150 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '33' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,151 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,152 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '15' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,154 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,154 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '21' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,155 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,156 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '28' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,158 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '33' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,159 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '_T' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,160 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '13' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,161 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '15' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,161 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,162 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,162 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '18' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,162 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,163 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '22' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,164 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,164 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,166 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '29' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,166 | INFO | Script: step_3_T3.py | File: 2011_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '30' included a suppressed or null value (s, so, ns, or null).
