2025-07-18 21:40:46,110 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,110 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,111 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,114 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,114 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,115 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,119 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Quantités achetées de gaz (en GWh)' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,121 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,122 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group 'CVL' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,123 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,124 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,124 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group 'PAL' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,125 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,126 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,126 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Valeur des achats de combustibles minéraux solides (en millions d'euros)' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
