2025-07-18 21:35:57,925 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | RowAggregationWarning: Sum across axis '500+' for group 'Consommation d’autres produits pétroliers' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,927 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | RowAggregationWarning: Sum across axis '500+' for group 'Consommation de liqueur noire' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,931 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | RowAggregationWarning: Sum across axis '500+' for group 'Consommation de combustibles spéciaux renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,934 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | RowAggregationWarning: Sum across axis '500+' for group 'Consommation autres combustibles' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,939 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | RowAggregationWarning: Sum across axis '500+' for group 'Vapeur vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,941 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | RowAggregationWarning: Sum across axis '500+' for group 'Consommation de combustibles pour la production d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,946 | INFO | --- Processing file: 2011_NAF_T1.csv ---
2025-07-18 21:35:57,954 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,956 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,956 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,961 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,963 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '18' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,964 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,964 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '21' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,965 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,972 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation d’électricité' for group '14' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,976 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation d’électricité' for group '29' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,978 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation d’électricité' for group '33' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,978 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation d’électricité' for group '38' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,006 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de coke de pétrole' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,057 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de combustibles spéciaux renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,063 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de combustibles spéciaux non renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,069 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation autres combustibles' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,075 | INFO | Script: step_3_T1.py | File: 2011_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Vapeur consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,104 | INFO | --- Processing file: 2011_REG_T1.csv ---
2025-07-18 21:35:58,109 | INFO | Script: step_3_T1.py | File: 2011_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,111 | INFO | Script: step_3_T1.py | File: 2011_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'BFC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,111 | INFO | Script: step_3_T1.py | File: 2011_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,112 | INFO | Script: step_3_T1.py | File: 2011_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,112 | INFO | Script: step_3_T1.py | File: 2011_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,112 | INFO | Script: step_3_T1.py | File: 2011_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'BFC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:58,114 | INFO | Script: step_3_T1.py | File: 2011_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
