year,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d'électricité,Total net de la consommation,ID,NAF,Total combustibles,Autoconsommation d'électricité,REG,TEFF, NAF,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Consommation pour production d'électricité,Combustibles spéciaux nonrenouvelables
2012,,0.0,10719,,718,1690,821,276,,19649,1296,852,734,,303,367,3551,1542,9427,34170,488,1001,32681,_T,,23200,,,,Total industrie,,,,,
2012,,0.0,0,,0,0,0,1,,1,0,0,0,,0,0,0,0,0,1,nd,nd,0,07,,1,,,,Extraction de minerais métalliques,,,,,
2012,,0.0,56,,0,10,6,74,,146,s,0,13,,5,s,s,s,75,267,nd,nd,266,08,,s,,,,Autres industries extractives,,,,,
2012,,0.0,2199,,0,67,228,s,,2898,2,0,68,,48,1,118,245,1549,4809,nd,nd,4544,10,,3016,,,,Industries alimentaires,,,,,
2012,,0.0,88,,0,9,4,4,,105,0,s,s,,22,0,28,22,115,270,nd,nd,269,11,,133,,,,Fabrication de boissons,,,,,
2012,,0.0,5,,0,s,0,s,,5,0,0,0,,0,0,0,0,4,8,nd,nd,8,12,,5,,,,Fabrication de produits à base de tabac,,,,,
2012,,0.0,103,,0,2,s,2,,s,0,0,0,,0,0,0,s,87,198,nd,nd,196,13,,s,,,,Fabrication de textiles,,,,,
2012,,0.0,18,,0,1,0,2,,20,0,0,0,,0,0,0,0,11,30,nd,nd,30,14,,20,,,,Industrie de l'habillement,,,,,
2012,,0.0,7,,0,5,2,1,,15,0,0,0,,0,0,0,0,11,27,nd,nd,26,15,,15,,,,Industrie du cuir et de la chaussure,,,,,
2012,,0.0,63,,0,4,2,11,,80,s,s,244,,0,0,245,6,145,476,nd,nd,469,16,,325,,,,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",,,,,
2012,,0.0,777,,0,8,57,5,,874,s,s,253,,112,8,1206,346,800,3227,nd,nd,2797,17,,2080,,,,Industrie du papier et du carton,,,,,
2012,,0.0,71,,0,s,s,2,,s,0,0,0,,0,s,s,s,116,193,nd,nd,191,18,,s,,,,Imprimerie et reproduction d'enregistrements,,,,,
2012,,0.0,3330,,s,1465,221,13,,5319,1118,s,s,,23,32,1211,734,1545,8809,nd,nd,8076,20,,6530,,,,Industrie chimique,,,,,
2012,,0.0,172,,0,2,1,s,,s,0,0,0,,0,s,s,23,183,386,nd,nd,382,21,,180,,,,Industrie pharmaceutique,,,,,
2012,,0.0,210,,0,12,18,9,,250,0,0,20,,s,s,20,78,576,924,nd,nd,907,22,,270,,,,Fabrication de produits en caoutchouc et en plastique,,,,,
2012,,0.0,1380,,559,20,215,32,,2670,160,0,50,,92,316,617,6,660,3953,nd,nd,3949,23,,3287,,,,Fabrication d'autres produits minéraux non métalliques,,,,,
2012,,0.0,1042,,140,s,55,s,,5534,s,0,39,,s,0,41,30,1869,7474,nd,nd,7469,24,,5575,,,,Métallurgie,,,,,
2012,,0.0,368,,0,29,1,13,,418,0,0,1,,0,1,2,2,445,867,nd,nd,866,25,,420,,,,"Fabrication de produits métalliques, à l'exception des machines et des équipements",,,,,
2012,,0.0,46,,0,1,0,2,,49,0,0,0,,0,0,0,1,189,239,nd,nd,238,26,,49,,,,"Fabrication de produits informatiques, électroniques et optiques",,,,,
2012,,0.0,109,,s,5,2,4,,153,s,0,s,,0,s,1,0,175,329,nd,nd,328,27,,154,,,,Fabrication d'équipements électriques,,,,,
2012,,0.0,158,,0,9,2,13,,181,s,0,1,,s,s,2,1,188,371,nd,nd,371,28,,183,,,,Fabrication de machines et équipements n.c.a.,,,,,
2012,,0.0,300,,0,8,1,4,,319,0,0,1,,0,0,1,30,372,721,nd,nd,715,29,,319,,,,Industrie automobile,,,,,
2012,,0.0,134,,0,s,s,3,,142,0,0,s,,s,0,1,7,155,305,nd,nd,296,30,,143,,,,Fabrication d'autres matériels de transport,,,,,
2012,,0.0,27,,0,5,0,2,,34,0,0,17,,0,0,17,0,51,101,nd,nd,101,31,,51,,,,Fabrication de meubles,,,,,
2012,,0.0,24,,0,s,0,2,,s,0,0,0,,0,0,0,s,49,77,nd,nd,77,32,,s,,,,Autres industries manufacturières,,,,,
2012,,0.0,17,,0,1,1,s,,s,0,0,s,,0,0,s,2,30,55,nd,nd,55,33,,23,,,,Réparation et installation de machines et d'équipements,,,,,
2012,,0.0,14,,0,1,s,10,,s,s,0,0,,0,0,s,0,26,52,nd,nd,52,38,,26,,,,Récupération,,,,,
2012,,0.0,10719,,718,1690,821,276,,19649,1296,852,734,,303,367,3551,1542,9427,34170,488,1001,32681,,,23200,,Toutes régions,,,,,,,
2012,,0.0,713,,8,s,5,11,,s,0,0,s,,s,0,s,16,428,1242,nd,nd,1232,,,797,,Ile-de-France,,,,,,,
2012,,0.0,469,,s,s,54,12,,695,s,0,63,,s,s,124,54,310,1183,nd,nd,1115,,,819,,Champagne-Ardenne,,,,,,,
2012,,0.0,631,,0,21,60,12,,770,s,0,0,,4,s,21,86,390,1266,nd,nd,1212,,,791,,Picardie,,,,,,,
2012,,0.0,1085,,s,s,115,7,,1456,424,0,61,,49,29,563,184,516,2720,nd,nd,2669,,,2019,,Haute-Normandie,,,,,,,
2012,,0.0,398,,39,11,25,10,,518,s,0,29,,s,s,36,12,314,880,nd,nd,861,,,554,,Centre,,,,,,,
2012,,0.0,168,,s,s,11,9,,223,s,0,2,,s,s,8,1,177,409,nd,nd,396,,,231,,Basse-Normandie,,,,,,,
2012,,0.0,225,,s,s,s,7,,254,s,0,27,,2,s,34,8,203,498,nd,nd,497,,,287,,Bourgogne,,,,,,,
2012,,0.0,1306,,140,s,74,24,,4152,s,0,2,,s,90,331,116,1459,6058,nd,nd,5924,,,4483,,Nord-Pas-de-Calais,,,,,,,
2012,,0.0,686,,45,7,7,15,,1767,s,0,69,,s,54,389,53,698,2907,nd,nd,2831,,,2156,,Lorraine,,,,,,,
2012,,0.0,1051,,s,s,18,9,,1108,s,0,55,,s,6,161,65,474,1808,nd,nd,1730,,,1269,,Alsace,,,,,,,
2012,,0.0,178,,s,s,9,6,,304,0,0,13,,s,s,23,56,269,652,nd,nd,602,,,327,,Franche-Comté,,,,,,,
2012,,0.0,385,,s,s,42,21,,529,1,0,43,,s,s,102,66,495,1192,nd,nd,1169,,,631,,Pays de la Loire,,,,,,,
2012,,0.0,336,,0,s,29,19,,431,0,s,s,,0,0,15,29,351,827,nd,nd,816,,,446,,Bretagne,,,,,,,
2012,,0.0,149,,61,13,31,14,,336,s,0,28,,s,37,90,6,157,589,nd,nd,584,,,426,,Poitou-Charentes,,,,,,,
2012,,0.0,269,,0,15,32,11,,423,s,356,156,,15,s,612,209,459,1702,nd,nd,1536,,,1034,,Aquitaine,,,,,,,
